-12
35,18,35,19,35,20,35,21,35,22,35,23,35,24,35,25,35,26,35,27,35,28,35,29,35,30,35,31,35,32,35,33,35,34,35,35,35,36,35,37,35,38,35,39,35,40,35,41,35,42,35,43,35,44,35,45,35,46,35,47,35,48,35,49,35,50,35,51,35,52,35,53,
-2
35,18,35,19,36,19,37,19,38,19,39,19,39,20,40,20,40,19,41,19,41,20,42,20,43,20,43,21,42,21,42,22,43,22,44,22,45,22,45,23,44,23,43,23,43,24,42,24,41,24,41,23,40,23,40,24,40,25,40,26,39,26,38,26,38,27,37,27,36,27,36,26,
-3
35,18,35,19,34,19,34,18,34,17,35,17,36,17,36,16,36,15,36,14,37,14,37,13,36,13,35,13,34,13,34,12,33,12,33,11,33,10,34,10,34,9,34,8,33,8,33,9,32,9,31,9,31,10,32,10,32,11,32,12,31,12,30,12,29,12,29,11,29,10,30,10,
-3
35,18,35,19,36,19,36,20,35,20,35,21,35,22,36,22,37,22,38,22,38,23,39,23,39,22,39,21,39,20,40,20,40,19,39,19,39,18,40,18,40,17,41,17,41,18,42,18,42,17,42,16,42,15,41,15,41,16,40,16,40,15,39,15,39,16,38,16,37,16,37,17,
-7
35,18,35,19,36,19,36,20,36,21,37,21,37,20,37,19,38,19,38,18,38,17,37,17,37,18,36,18,36,17,35,17,34,17,34,16,33,16,33,17,33,18,34,18,34,19,33,19,33,20,32,20,32,21,33,21,33,22,32,22,31,22,31,23,31,24,30,24,29,24,28,24,
-3
35,18,35,19,36,19,36,20,36,21,37,21,37,20,38,20,38,21,38,22,38,23,39,23,39,22,40,22,40,23,41,23,42,23,42,24,43,24,43,23,43,22,42,22,42,21,43,21,43,20,44,20,44,19,43,19,42,19,41,19,40,19,40,20,40,21,39,21,39,20,39,19,
-8
35,18,35,19,36,19,36,20,36,21,37,21,37,20,37,19,38,19,39,19,40,19,41,19,41,18,42,18,42,19,43,19,44,19,44,20,44,21,45,21,46,21,46,20,47,20,47,21,48,21,48,22,49,22,49,21,49,20,48,20,48,19,49,19,49,18,48,18,48,17,48,16,
-8
35,18,35,19,36,19,36,20,36,21,37,21,37,20,37,19,38,19,39,19,39,20,39,21,40,21,40,22,39,22,39,23,39,24,38,24,37,24,37,25,37,26,38,26,38,27,37,27,37,28,36,28,36,29,37,29,38,29,38,28,39,28,39,29,40,29,40,28,41,28,42,28,
-8
35,18,35,19,36,19,36,20,36,21,37,21,37,20,37,19,37,18,36,18,36,17,35,17,34,17,33,17,33,18,33,19,33,20,32,20,31,20,30,20,29,20,29,21,28,21,28,20,28,19,29,19,29,18,28,18,27,18,27,19,27,20,26,20,26,21,25,21,25,20,24,20,
-5
35,18,35,19,36,19,36,20,36,21,37,21,37,20,37,19,38,19,38,18,39,18,39,17,39,16,39,15,38,15,37,15,36,15,36,14,36,13,36,12,36,11,35,11,35,10,34,10,33,10,33,9,32,9,32,10,31,10,31,11,31,12,30,12,30,13,29,13,29,12,28,12,
-1
35,18,35,19,35,20,35,21,36,21,36,22,36,23,36,24,36,25,35,25,35,24,34,24,34,25,33,25,33,26,33,27,34,27,34,26,35,26,36,26,37,26,38,26,38,27,39,27,40,27,40,26,40,25,41,25,42,25,42,24,43,24,44,24,44,25,45,25,45,26,45,27,
-7
35,18,35,19,35,20,36,20,36,21,35,21,34,21,34,20,33,20,33,21,32,21,32,22,33,22,33,23,33,24,34,24,34,25,33,25,33,26,34,26,35,26,35,25,35,24,36,24,36,25,36,26,37,26,38,26,38,27,38,28,39,28,39,29,38,29,37,29,36,29,35,29,
-5
35,18,35,19,35,20,36,20,37,20,37,21,36,21,35,21,35,22,34,22,33,22,32,22,32,21,33,21,34,21,34,20,34,19,34,18,33,18,33,17,33,16,32,16,31,16,31,15,32,15,33,15,33,14,34,14,34,15,34,16,34,17,35,17,35,16,36,16,36,15,35,15,
-5
35,18,35,19,35,20,36,20,37,20,37,21,36,21,35,21,35,22,34,22,33,22,32,22,32,21,33,21,34,21,34,20,34,19,34,18,33,18,33,17,33,16,32,16,31,16,31,15,32,15,33,15,33,14,34,14,34,15,34,16,34,17,35,17,35,16,36,16,36,15,35,15,
-2
35,18,35,19,35,20,36,20,37,20,37,21,36,21,35,21,35,22,34,22,33,22,32,22,32,21,33,21,34,21,34,20,34,19,34,18,33,18,33,17,33,16,32,16,31,16,31,15,32,15,33,15,33,14,32,14,32,13,32,12,32,11,31,11,31,12,30,12,30,13,31,13,
-3
35,18,35,19,35,20,36,20,37,20,37,21,36,21,35,21,35,22,34,22,33,22,32,22,32,21,33,21,34,21,34,20,34,19,34,18,33,18,33,17,33,16,32,16,31,16,31,15,32,15,33,15,33,14,32,14,32,13,32,12,32,11,31,11,31,10,32,10,32,9,31,9,
-3
35,18,35,19,35,20,36,20,37,20,37,21,36,21,35,21,35,22,34,22,33,22,32,22,32,21,33,21,34,21,34,20,34,19,34,18,33,18,33,17,34,17,34,16,34,15,35,15,35,16,35,17,36,17,36,16,37,16,38,16,39,16,39,15,38,15,38,14,37,14,37,15,
-3
35,18,35,19,34,19,33,19,33,18,32,18,32,19,32,20,32,21,33,21,33,22,34,22,34,23,33,23,32,23,32,22,31,22,31,21,31,20,31,19,30,19,30,20,30,21,30,22,29,22,28,22,28,23,29,23,29,24,28,24,28,25,29,25,30,25,30,26,31,26,31,25,
-2
